id,dateTime,mag,latitude,longitude,place
143,2008/03/21 23:57:29,2.7,35.15 N,124.57 E,전남 신안군 흑산면 북서쪽 99km 해역
144,2008/03/27 16:29:21,2.8,37.78 N,126.4 E,인천 강화군 서북서쪽 9km 지역
145,2008/05/26 11:01:06,2.6,35.85 N,130.01 E,경북 포항시 남구 동남동쪽 61km 해역
146,2008/05/31 21:59:30,4.2,33.5 N,125.69 E,제주 제주시 서쪽 78km 해역
147,2008/06/21 23:30:12,2.2,35.57 N,128.6 E,경남 밀양시 북서쪽 17km 지역
148,2008/06/30 03:34:07,2.3,35.1 N,124.66 E,전남 신안군 흑산면 북서쪽 89km 해역
149,2008/07/01 16:32:50,2.3,35.54 N,128.82 E,경남 밀양시 북동쪽 8km 지역
150,2008/07/04 19:39:10,2.1,39.26 N,127.22 E,북한 함경남도 고원 남쪽 18km 지역
151,2008/07/04 20:48:45,2.5,39.3 N,127.19 E,북한 함경남도 고원 남남서쪽 15km 지역
152,2008/07/22 23:11:26,2.5,35.31 N,129.74 E,울산 동구 남동쪽 36km 해역
153,2008/07/23 19:29:57,3.2,34.49 N,128.04 E,경남 남해군 남남동쪽 41km 해역
154,2008/07/27 17:13:18,2.4,39.4 N,126.03 E,북한 평안남도 평성 북동쪽 23km 지역
155,2008/07/27 21:48:48,2.2,34.45 N,128.08 E,경남 남해군 남남동쪽 46km 해역
156,2008/08/20 14:45:26,2.2,35.72 N,125.69 E,전북 군산시 어청도 남남서쪽 52km 해역
157,2008/09/04 00:44:29,3.0,35.13 N,125.04 E,전남 신안군 흑산면 북서쪽 66km 해역
158,2008/09/08 15:35:05,2.6,34.57 N,128.25 E,경남 통영시 남남서쪽 36km 해역
159,2008/09/11 10:46:10,2.4,38.08 N,127.12 E,경기 연천군 동남동쪽 4km 지역
160,2008/09/13 12:05:08,2.5,35.6 N,126.99 E,전북 정읍시 동북동쪽 12km 지역
161,2008/09/20 11:24:01,2.8,34.11 N,125.02 E,전남 신안군 흑산면 남서쪽 73km 해역
162,2008/10/08 11:04:34,2.1,38.12 N,127.11 E,경기 연천군 북동쪽 4km 지역
163,2008/10/29 09:26:14,3.4,36.35 N,127.25 E,충남 공주시 남동쪽 15km 지역
164,2008/11/05 18:12:31,2.3,37.07 N,129.11 E,경북 봉화군 동북동쪽 38km 지역
165,2008/11/11 21:20:53,3.0,38.54 N,125.65 E,북한 황해북도 사리원 서북서쪽 10km 지역
166,2008/11/11 21:30:02,3.0,38.55 N,125.67 E,북한 황해북도 사리원 서북서쪽 9km 지역
167,2008/11/11 23:37:54,2.5,38.56 N,125.66 E,북한 황해북도 사리원 북서쪽 11km 지역
168,2008/12/07 02:28:07,2.4,36.45 N,129.56 E,경북 영덕군 동북동쪽 18km 해역
169,2008/12/07 18:02:14,2.3,37.79 N,125.02 E,북한 황해남도 옹진 서남서쪽 34km 해역
170,2008/12/08 08:49:43,2.4,35.14 N,124.62 E,전남 신안군 흑산면 북서쪽 95km 해역
171,2008/12/11 19:31:20,2.7,40.38 N,126.87 E,북한 자강도 용림 남남동쪽 14km 지역
172,2008/12/18 23:38:13,2.3,36.47 N,129.66 E,경북 영덕군 동북동쪽 27km 해역
173,2008/12/19 17:53:39,3.5,36.49 N,129.68 E,경북 영덕군 동북동쪽 29km 해역
174,2008/12/19 21:53:49,2.2,37.36 N,129.83 E,경북 울진군 북동쪽 56km 해역
175,2008/12/29 05:51:16,2.2,35.67 N,126.34 E,전북 부안군 서남서쪽 36km 해역
176,2009/01/01 06:45:35,2.1,36.31 N,128.35 E,경북 구미시 북쪽 22km 지역
177,2009/01/01 15:58:10,2.5,36.5 N,129.08 E,경북 청송군 북북동쪽 7km 지역
178,2009/01/02 08:15:53,2.2,33.94 N,127.67 E,전남 고흥군 남남동쪽 82km 해역
179,2009/01/05 02:59:59,2.1,33.47 N,127.31 E,제주 서귀포시 성산 동북동쪽 41km 해역
180,2009/01/09 20:53:22,3.2,38.73 N,125.82 E,북한 황해북도 사리원 북북동쪽 22km 지역
181,2009/01/13 19:07:01,3.0,36.47 N,129.64 E,경북 영덕군 동쪽 22km 해역
182,2009/02/12 17:46:16,3.2,35.26 N,127.44 E,전남 구례군 동쪽 7km 지역
183,2009/02/15 12:57:05,2.3,35.85 N,127.72 E,전북 무주군 남남동쪽 18km 지역
184,2009/02/15 22:41:57,3.0,35.76 N,125.71 E,전북 군산시 어청도 남남서쪽 47km 해역
185,2009/02/19 00:01:39,2.3,39.72 N,126.89 E,북한 함경남도 요덕 북북동쪽 9km 지역
186,2009/02/23 21:47:16,2.8,37.13 N,126.01 E,인천 옹진군 덕적도 남서쪽 15km 해역
187,2009/02/26 15:03:55,2.7,35.03 N,129.59 E,부산 기장군 남동쪽 41km 해역
188,2009/02/26 20:53:04,2.2,36.94 N,129.36 E,경북 울진군 남서쪽 7km 지역
189,2009/03/02 14:20:26,3.4,37.08 N,124.65 E,충남 태안군 서격렬비도 북서쪽 95km 해역
190,2009/03/26 02:32:14,2.3,33.38 N,127.14 E,제주 서귀포시 성산 동쪽 24km 해역
191,2009/03/26 22:21:25,2.9,38.11 N,127.13 E,경기 연천군 동쪽 3km 지역
192,2009/03/30 05:58:17,2.3,36.21 N,128.08 E,경북 김천시 북쪽 8km 지역
193,2009/04/02 20:28:00,3.0,37.6 N,125.95 E,인천 강화군 서남서쪽 50km 해역
194,2009/04/14 04:51:33,2.5,38.45 N,125.65 E,북한 황해북도 사리원 서남서쪽 11km 지역
195,2009/04/18 20:19:01,2.5,33.39 N,127.07 E,제주 서귀포시 성산 동쪽 18km 해역
196,2009/04/21 17:44:57,2.0,35.45 N,128.22 E,경남 의령군 북북서쪽 15km 지역
197,2009/04/29 12:15:42,2.9,33.43 N,127.36 E,제주 서귀포시 성산 동쪽 45km 해역
198,2009/05/02 07:58:28,4.0,36.56 N,128.71 E,경북 안동시 서남서쪽 2km 지역
199,2009/05/02 12:28:29,2.9,36.57 N,128.71 E,경북 안동시 서북서쪽 2km 지역
200,2009/05/14 20:50:12,2.2,36.25 N,127.13 E,충남 논산시 북쪽 11km 지역
201,2009/05/15 22:41:31,2.4,36.59 N,126.41 E,충남 태안군 남남동쪽 20km 해역
202,2009/05/25 18:12:30,2.4,36.95 N,129.33 E,경북 울진군 남서쪽 8km 지역
203,2009/05/26 18:59:02,2.2,36.57 N,129.22 E,경북 영양군 남동쪽 14km 지역
204,2009/05/31 00:10:58,2.5,33.52 N,125.85 E,제주 제주시 서쪽 63km 해역
205,2009/05/31 15:24:07,2.3,38.6 N,126.43 E,북한 황해북도 신계 북서쪽 14km 지역
206,2009/06/03 15:56:02,2.4,33.19 N,126.33 E,제주 서귀포시 서남서쪽 18km 해역
207,2009/06/03 20:09:38,2.9,38.57 N,126.5 E,북한 황해북도 신계 북북서쪽 9km 지역
208,2009/06/06 00:49:42,2.8,38.63 N,127.44 E,북한 강원 회양 서남서쪽 16km 지역
209,2009/06/06 01:56:38,2.4,35.09 N,125.06 E,전남 신안군 흑산면 북서쪽 62km 해역
210,2009/06/20 04:05:50,2.9,37.09 N,124.74 E,충남 태안군 서격렬비도 북서쪽 89km 해역
211,2009/06/20 21:14:52,2.2,38.03 N,126.62 E,북한 개성 북동쪽 8km 지역
212,2009/06/25 13:05:58,2.2,39.43 N,126.11 E,북한 평안남도 성천 서북서쪽 15km 지역
213,2009/06/28 22:07:48,3.0,35.78 N,128.29 E,경북 고령군 북북동쪽 7km 지역
214,2009/06/29 11:52:53,2.7,37.14 N,126 E,인천 옹진군 덕적도 서남서쪽 16km 해역
215,2009/07/01 08:55:04,2.6,37.84 N,124.94 E,인천 백령도 남동쪽 30km 해역
216,2009/07/15 04:04:49,3.0,35.14 N,125.1 E,전남 신안군 흑산면 북북서쪽 61km 해역
217,2009/07/17 13:14:05,2.5,38.45 N,126.15 E,북한 황해북도 평산 서북서쪽 25km 지역
218,2009/07/30 09:27:37,2.6,35.85 N,126.29 E,전북 부안군 위도 북쪽 27km 해역
219,2009/08/15 03:18:12,2.6,36.52 N,129.61 E,경북 영덕군 북동쪽 23km 해역
220,2009/08/17 15:24:22,2.4,36.54 N,129.6 E,경북 영덕군 북동쪽 24km 해역
221,2009/08/21 23:02:22,3.8,38.82 N,125.79 E,북한 황해북도 송림 북동쪽 16km 지역
222,2009/08/25 23:08:29,2.4,37.68 N,124.68 E,인천 백령도 남쪽 30km 해역
223,2009/10/01 21:30:05,2.9,38.12 N,126.02 E,북한 황해남도 해주 동북동쪽 28km 지역
224,2009/10/04 12:00:06,2.5,39.38 N,126.05 E,북한 평안남도 평성 북북동쪽 17km 지역
225,2009/10/16 13:12:24,2.3,33.4 N,127.29 E,제주 서귀포시 성산 동쪽 38km 해역
226,2009/11/05 04:31:26,2.7,38.42 N,124.87 E,북한 황해남도 장연 서북서쪽 50km 해역
227,2009/11/14 05:28:42,2.4,35.66 N,126.91 E,전북 정읍시 북동쪽 14km 지역
228,2009/11/14 21:27:57,2.5,34.81 N,127.93 E,경남 남해군 남동쪽 4km 지역
229,2009/11/17 05:38:49,2.3,36.07 N,126.95 E,전북 익산시 북쪽 14km 지역
230,2009/11/27 10:34:40,2.4,37.69 N,129.58 E,강원 동해시 동북동쪽 44km 해역
231,2009/12/04 05:14:53,2.8,36.72 N,128.55 E,경북 예천군 북동쪽 11km 지역
232,2009/12/11 13:13:31,2.8,33.69 N,125.64 E,전남 신안군 가거도 남동쪽 62km 해역
233,2009/12/15 07:19:53,2.3,38.8 N,125.94 E,북한 황해북도 송림 동북동쪽 27km 지역
234,2009/12/15 09:02:13,2.4,36.76 N,127.1 E,충남 아산시 동남동쪽 9km 지역
235,2009/12/26 10:55:50,2.2,37.87 N,124.91 E,북한 인천 백령도 동남동쪽 22km 해역
236,2010/01/05 20:12:11,2.6,36.97 N,126.52 E,충남 당진군 북서쪽 13km 지역
237,2010/01/10 11:58:08,2.1,38.8 N,126.07 E,북한 평양 남동쪽 37km 지역
238,2010/01/23 17:54:13,2.1,36.59 N,128.17 E,경북 상주시 북쪽 20km 지역
239,2010/02/01 05:00:12,2.3,33.3 N,127.14 E,제주 서귀포시 성산 동남동쪽 26km 해역
240,2010/02/01 06:42:17,2.4,33.34 N,127.18 E,제주 서귀포시 성산 동쪽 28km 해역
241,2010/02/03 20:57:07,2.6,33.33 N,127.19 E,제주 서귀포시 성산 동남동쪽 29km 해역
242,2010/02/09 18:08:14,3.0,37.45 N,126.8 E,경기 시흥시 북쪽 8km 지역
243,2010/02/16 18:53:32,3.3,35.63 N,129.95 E,울산 동구 동북동쪽 64km 해역
244,2010/02/21 21:17:01,2.3,36.75 N,127.1 E,충남 천안시 남서쪽 8km 지역
